n,mode,repeats,wall_s_mean,per_step_ms
5,bare,2,0.0077587350006069755,1.551747000121395
5,per_call_try,2,1.1490657300000748,229.81314600001497
5,shared_agenttx,2,0.40704833999916445,81.40966799983289
10,bare,2,0.014996500000052038,1.4996500000052038
10,per_call_try,2,2.3572435549995134,235.72435549995134
10,shared_agenttx,2,0.4935796299996582,49.35796299996582
20,bare,2,0.0292818449997867,1.464092249989335
20,per_call_try,2,4.706500705000508,235.3250352500254
20,shared_agenttx,2,0.6736970399997517,33.684851999987586
40,bare,2,0.058982154998375336,1.4745538749593834
40,per_call_try,2,9.375789945001088,234.3947486250272
40,shared_agenttx,2,1.045997389999684,26.1499347499921
