config_id,sweep,x_value,mode,total_steps,shape,fault_step,fault_fraction,independent_fraction,expected_target_count,independent_count,ledger_edges,repeats,rollback_precision_mean,rollback_precision_stdev,rollback_recall_mean,rollback_recall_stdev,independent_retention_mean,independent_retention_stdev,target_removed_mean,target_removed_stdev,useful_work_lost_mean,useful_work_lost_stdev,invalid_work_retained_mean,invalid_work_retained_stdev,execution_ms_mean,execution_ms_stdev,rollback_ms_mean,rollback_ms_stdev,rollback_ms_p95,commit_ms_mean,commit_ms_stdev,final_correct_rate,host_clean_rate
5,shape,layered,temporal,32,layered,8,0.258065,0.59375,13,19,17,3,0.541667,0.0,1.0,0.0,0.421053,0.0,1.0,0.0,11.0,0.0,0.0,0.0,604.063333,33.104161,149.65,2.100904,151.5918,406.129333,12.189669,0.0,1.0
5,shape,layered,whole_session,32,layered,8,0.258065,0.59375,13,19,17,3,0.40625,0.0,1.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,779.649333,24.78892,215.925333,47.695651,254.7036,0.000333,0.000577,0.0,1.0
6,fault_position,0.1,causal,32,layered,3,0.096774,0.53125,15,17,20,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,766.138667,94.055488,150.467,8.286386,158.1617,517.167333,76.751852,1.0,1.0
6,fault_position,0.1,causal_without_dependencies,32,layered,3,0.096774,0.53125,15,17,0,3,1.0,0.0,0.066667,0.0,1.0,0.0,0.066667,0.0,0.0,0.0,14.0,0.0,639.463,76.720694,190.723,52.724848,240.9988,724.953333,64.065465,0.0,1.0
6,fault_position,0.1,temporal,32,layered,3,0.096774,0.53125,15,17,20,3,0.517241,0.0,1.0,0.0,0.176471,0.0,1.0,0.0,14.0,0.0,0.0,0.0,797.175333,130.150448,193.208,59.682336,252.0886,414.678333,105.908617,0.0,1.0
6,fault_position,0.1,whole_session,32,layered,3,0.096774,0.53125,15,17,20,3,0.46875,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,900.847,192.055403,313.851,212.506147,523.4611,0.000333,0.000577,0.0,1.0
7,fault_position,0.5,causal,32,layered,16,0.516129,0.71875,9,23,11,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,595.802,30.62286,162.552667,26.552528,188.3273,604.959333,97.549301,1.0,1.0
7,fault_position,0.5,causal_without_dependencies,32,layered,16,0.516129,0.71875,9,23,0,3,1.0,0.0,0.111111,0.0,1.0,0.0,0.111111,0.0,0.0,0.0,8.0,0.0,617.643,70.229327,167.825333,32.099935,188.1707,651.920333,65.311603,0.0,1.0
7,fault_position,0.5,temporal,32,layered,16,0.516129,0.71875,9,23,11,3,0.5625,0.0,1.0,0.0,0.695652,0.0,1.0,0.0,7.0,0.0,0.0,0.0,733.457333,27.370384,193.335333,33.417111,212.8576,487.538333,63.296377,0.0,1.0
7,fault_position,0.5,whole_session,32,layered,16,0.516129,0.71875,9,23,11,3,0.28125,0.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,653.976333,38.589066,196.196333,30.116343,221.9437,0.0,0.0,0.0,1.0
