iteration,snapshot,optimization,before_full_ms_per_step,after_full_ms_per_step,before_repeats,after_repeats,after_stdev_ms_per_step,correct,note
0,iteration_00_unoptimized,known write/delete trace bypass,495.843,500.906,2,1,,True,directional single-run post-change measurement
1,iteration_01_known_write_trace_bypass,known read_file explicit READ/NEGATIVE effects + trace bypass,500.906,437.534,1,2,10.589,True,paired current implementation; full recovery passed; no-trace ablation remained intentionally incorrect
2,iteration_02_known_read_effect_bypass,persistent per-semisolate command script reuse,418.899,409.835,2,2,6.003,True,directional two-repeat measurement; no-trace 331.599 -> 328.601 ms/step; full recovery passed; ablation remained intentionally incorrect
3,iteration_03_persistent_command_script,defer unreachable blob GC from per-snapshot hot path,406.099,397.104,2,2,0.891,True,directional two-repeat measurement; no-trace 325.434 -> 324.325 ms/step; full recovery and evidence suite passed
4,iteration_04_deferred_blob_gc,execute reusable command script directly via shebang,397.104,393.631,2,2,1.286,True,directional two-repeat measurement; no-trace 324.325 -> 318.575 ms/step; full recovery and evidence suite passed
5,iteration_05_direct_executable_script,persistent try worker with framed command IPC,393.631,151.531,2,2,5.013,True,directional two-repeat measurement; no-trace 318.575 -> 66.975 ms/step; full recovery and evidence suite passed; worker fallback retained
6,iteration_06_persistent_try_worker,incremental upperdir snapshot with hard-linked unchanged entries,151.531,162.104,2,2,18.839,True,snapshot stage 0.384 -> 0.158 s over 63 incremental calls; endpoint pair noisy; no end-to-end speedup claim
