exp,mode,ok,wall_s,wall_s_mean,failures_mean,host_polluted_before_commit_rate,detail
cascade_rollback,,True,1.841258894011844,,,,rollback step1 cascades; host clean until commit; only a+e land
selective_commit_via_rollback,,True,1.4435279829776846,,,,rollback(2)+commit keeps keep0/1 only
frontier_selective_commit,,True,1.2455799909948837,,,,commit(1) writes keep0/1 while later2 remains speculative
host_pollution_vs_bare,,True,2.1916117439977825,,,,bare writes visible mid-traj; agenttx host clean until commit
mistake_recovery,,True,4.3703948839975055,,,,buggy mul never hits host; rollback; fixed mul committed; pytest pass
policy_blocks_dangerous_commit,,True,0.8876713749777991,,,,"deny secrets/*.pem blocks full commit; after rollback, ok.txt commits alone"
isolation_matrix,bare,True,,1.098306975516607,0.0,1.0,coding traj pollution/failures/wall
isolation_matrix,agenttx,True,,10.390389926498756,0.0,0.0,coding traj pollution/failures/wall
