config_id,sweep,x_value,requested_total_steps,requested_shape,requested_fault_fraction,requested_independent_fraction,mode,repeat,total_steps,shape,fault_step,fault_fraction,independent_fraction,expected_target_count,independent_count,actual_target_count,ledger_edges,execution_ms,rollback_ms,commit_ms,host_clean_before_commit,merged_correct_after_rollback,rollback_precision,rollback_recall,independent_retention,target_removed,useful_work_lost,invalid_work_retained,false_rollback_count,missed_target_count,final_correct
2,size,64,64,layered,0.25,0.5,temporal,2,64,layered,16,0.253968,0.609375,25,39,48,34,2811.834,240.388,2664.207,True,False,0.5208333333333334,1.0,0.41025641025641024,1.0,23,0,23,0,False
2,size,64,64,layered,0.25,0.5,whole_session,0,64,layered,16,0.253968,0.609375,25,39,64,34,2683.76,242.01,0.0,True,False,0.390625,1.0,0.0,1.0,39,0,39,0,False
2,size,64,64,layered,0.25,0.5,whole_session,1,64,layered,16,0.253968,0.609375,25,39,64,34,2667.86,242.749,0.0,True,False,0.390625,1.0,0.0,1.0,39,0,39,0,False
2,size,64,64,layered,0.25,0.5,whole_session,2,64,layered,16,0.253968,0.609375,25,39,64,34,2690.031,240.968,0.0,True,False,0.390625,1.0,0.0,1.0,39,0,39,0,False
2,size,64,64,layered,0.25,0.5,causal_without_dependencies,0,64,layered,16,0.253968,0.609375,25,39,1,0,2730.416,235.871,3038.14,True,False,1.0,0.04,1.0,0.040000000000000036,0,24,0,24,False
2,size,64,64,layered,0.25,0.5,causal_without_dependencies,1,64,layered,16,0.253968,0.609375,25,39,1,0,2777.281,185.802,2709.737,True,False,1.0,0.04,1.0,0.040000000000000036,0,24,0,24,False
2,size,64,64,layered,0.25,0.5,causal_without_dependencies,2,64,layered,16,0.253968,0.609375,25,39,1,0,2927.437,237.017,2544.955,True,False,1.0,0.04,1.0,0.040000000000000036,0,24,0,24,False
3,shape,chain,32,chain,0.25,0.5,causal,0,32,chain,8,0.258065,0.59375,13,19,13,12,1986.451,186.349,1944.106,True,True,1.0,1.0,1.0,1.0,0,0,0,0,True
3,shape,chain,32,chain,0.25,0.5,causal,1,32,chain,8,0.258065,0.59375,13,19,13,12,2115.863,238.237,1975.666,True,True,1.0,1.0,1.0,1.0,0,0,0,0,True
3,shape,chain,32,chain,0.25,0.5,causal,2,32,chain,8,0.258065,0.59375,13,19,13,12,2165.551,237.341,1970.868,True,True,1.0,1.0,1.0,1.0,0,0,0,0,True
3,shape,chain,32,chain,0.25,0.5,temporal,0,32,chain,8,0.258065,0.59375,13,19,24,12,2094.889,178.861,1812.177,True,False,0.5416666666666666,1.0,0.42105263157894735,1.0,11,0,11,0,False
3,shape,chain,32,chain,0.25,0.5,temporal,1,32,chain,8,0.258065,0.59375,13,19,24,12,2037.287,229.812,1927.691,True,False,0.5416666666666666,1.0,0.42105263157894735,1.0,11,0,11,0,False
3,shape,chain,32,chain,0.25,0.5,temporal,2,32,chain,8,0.258065,0.59375,13,19,24,12,2091.451,230.624,1856.378,True,False,0.5416666666666666,1.0,0.42105263157894735,1.0,11,0,11,0,False
3,shape,chain,32,chain,0.25,0.5,whole_session,0,32,chain,8,0.258065,0.59375,13,19,32,12,1903.562,229.578,0.0,True,False,0.40625,1.0,0.0,1.0,19,0,19,0,False
3,shape,chain,32,chain,0.25,0.5,whole_session,1,32,chain,8,0.258065,0.59375,13,19,32,12,2209.575,230.302,0.001,True,False,0.40625,1.0,0.0,1.0,19,0,19,0,False
3,shape,chain,32,chain,0.25,0.5,whole_session,2,32,chain,8,0.258065,0.59375,13,19,32,12,2316.243,230.014,0.0,True,False,0.40625,1.0,0.0,1.0,19,0,19,0,False
3,shape,chain,32,chain,0.25,0.5,causal_without_dependencies,0,32,chain,8,0.258065,0.59375,13,19,1,0,2059.778,185.682,1885.873,True,False,1.0,0.07692307692307693,1.0,0.07692307692307687,0,12,0,12,False
3,shape,chain,32,chain,0.25,0.5,causal_without_dependencies,1,32,chain,8,0.258065,0.59375,13,19,1,0,1965.537,182.287,2034.109,True,False,1.0,0.07692307692307693,1.0,0.07692307692307687,0,12,0,12,False
